Permit..,EPA.ID,Expire.Date,Facility.Name,Permit.Type,Class,SIC.Code,County,Region,Section,Town,Range,Latitude,Longitude,FAC.DES.BASIN,Design,Treatment.Type,X1st.Outfall..,X1st.Outfl.Name,Lat,Long,X2nd.Outfall..,X2nd.Outfl.Name,Lat.1,Long.1,X3rd.Outfall..,X3rd.Outfl.Name,Lat.2,Long.2,X4th.Outfall..,X4th.Outfl.Name,Lat.3,Long.3,X5th.Outfall..,X5th.Outfl.Name,Lat.4,Long.4,X6th.Outfall..,X6th.Outfl.Name,Lat.5,Long.5,X7th.Outfall..,X7th.Outfl.Name,Lat.6,Long.6
709001,36633,4/30/2019,CEDAR FALLS CITY OF STP,MUNICIPAL,MAJOR,4952,Black Hawk,1,12,89,14,42.53477,-92.44041,CEDAR R BELOW THE SHELLROCK R THRU CEDAR RAPIDS,1,TRICKLING FILTER,1,DISCHARGE FROM A TRICKLING FILTER WASTEWATER TREATMENT FACILITY.,42.53444,-92.43891,3,BYPASS FROM OLD LINE AT TREATMENT PLANT,42.53529,-92.43997,4,BYPASS AT PARRISH LIFT STATION SANITARY SEWER OVERFLOW,42.51977,-92.40702,12,BYPASS AT DETENTION BASIN OVERFLOW,42.53443,-92.43891,14,BYPASS FROM TIMBER LIFT STATION SANITARY SEWER OVERFLOW,42.5198,-92.41532,15,BYPASS FROM PARK DRIVE LIFT STATION SANITARY SEWER OVERFLOW,42.52436,-92.41953,16,BYPASS OF DIFFUSER FROM GATEWELL F PUMP STATION,-,-
5715001,42641,1/4/2016,CEDAR RAPIDS CITY OF STP,MUNICIPAL,MAJOR,4952,Linn,1,32,83,6,41.95931,-91.56473,CEDAR R BELOW THE SHELLROCK R THRU CEDAR RAPIDS,1,ACTIVATED SLUDGE,1," DIFFUSER DISCHARGE FROM A TRICKLING FILTER/ACTIVATED SLUDGE WASTEWATER TREATMENT PLANT WHEN CEDAR RIVER FLOW AT UPSTREAM USGS GAUGE IS LESS THAN 12,900 CFS",41.95583,-91.56556,4," SHORELINE DISCHARGE FROM A TRICKLING FILTER/ACTIVATED SLUDGE WASTEWATER TREATMENT PLANT WHEN CEDAR RIVER FLOW AT UPSTREAM USGS GAUGE IS LESS THAN 12,900 CFS",41.95583,-91.56556,117," COMBINED SHORELINE AND DIFFUSER DISCHARGE FROM A TRICKLING FILTER/ACTIVATED SLUDGE WASTEWATER TREATMENT PLANT WHEN CEDAR RIVER FLOW AT UPSTREAM USGS GAUGE IS GREATER THAN 12,900 CFS.",-,-,NA,,,,NA,,,,NA,,,,NA,,,
407003,27472,8/23/2004,CENTERVILLE CITY OF STP (EAST),MUNICIPAL,MAJOR,4952,Appanoose,5,31,69,17,40.73364,-92.86178,CHARITON R,1,ROTATING BIOLOGICAL CONTACTOR,1,DISCHARGE FROM A TRICKLING FILTER / ROTATING BIOLOGICAL CONTACTOR WASTEWATER    TREATMENT FACILITY.,40.73806,-92.85807,2,BYPASS FROM STORMWATER EQUALIZATION BASIN,40.7374,-92.85934,NA,,,,NA,,,,NA,,,,NA,,,,NA,,,
5903001,28924,9/16/2006,CHARITON CITY OF STP,MUNICIPAL,MAJOR,4952,Lucas,5,21,72,21,41.01554,-93.28371,DES MOINES R BELOW THE RACCOON TO WHITEBREAST CR,1,OXIDATION DITCH,1,DISCHARGE FROM OXIDATION DITCH ACTIVATED SLUDGE WASTEWATER TREATMENT FACILITY.,41.01548,-93.27922,2,BYPASS FROM EQUALIZATION BASIN AT TREATMENT PLANT .,41.01842,-93.27761,3,BYPASS FROM EQUALIZATION BASIN AT 16TH STREET AND HWY 34,41.00816,-93.31867,4,BYPASS AT 12TH ST. AND ILION AVE.,41.02536,-93.31129,NA,,,,NA,,,,NA,,,
3405001,22039,8/31/2019,"CHARLES CITY, CITY OF STP",MUNICIPAL,MAJOR,4952,Floyd,2,7,95,15,43.05725,-92.66229,CEDAR R ABOVE THE SHELLROCK R,1,TRICKLING FILTER,1,DISCHARGE FROM A TRICKLING FILTER WASTEWATER TREATMENT PLANT VIA EFFLUENT DIFFUSER.,43.05286,-92.66306,3,DISCHARGE FROM A TRICKLING FILTER WASTEWATER TREATMENT PLANT VIA SHORELINE DISCHARGE WHEN RECEIVING STREAM FLOW IS AT OR ABOVE 520 CFS.,-,-,NA,,,,NA,,,,NA,,,,NA,,,,NA,,,
1811002,59005,8/31/2019,CHEROKEE CITY OF STP,MUNICIPAL,MAJOR,4952,Cherokee,3,3,91,40,42.7277,-95.55856,LITTLE SIOUX R,1,ACTIVATED SLUDGE,1,DISCHARGE FROM THE EAST INDUSTRIAL ACTIVATED SLUDGE WASTEWATER TREATMENT PLANT.,42.72634,-95.56684,2,DISCHARGE FROM THE WEST MUNICIPAL ACTIVATED SLUDGE WASTEWATER TREATMENT PLANT.,42.72333,-95.56769,3,BYPASS FROM EQUALIZATION BASIN,42.72338,-95.56766,4,COMBINED EFFLUENT FROM OUTFALLS 001 AND 002,-,-,NA,,,,NA,,,,NA,,,
7329001,35190,6/30/2021,CLARINDA CITY OF STP,MUNICIPAL,MAJOR,4952,Page,4,6,68,36,40.72775,-95.02784,NODAWAY R,1,TRICKLING FILTER,1,DISCHARGE FROM TRICKLING FILTER WASTEWATER TREATMENT FACILITY VIA EFFLUENT DIFFUSER,40.72415,-95.01591,2,BYPASS AT EQUALIZATION BASIN OVERFLOW,40.72667,-95.02117,3,DISCHARGE FROM TRICKLING FILTER WASTEWATER TREATMENT FACILITY VIA SHORELINE DISCHARGE,-,-,NA,,,,NA,,,,NA,,,,NA,,,
1716901,58441,5/31/2021,CLEAR LAKE SANITARY DISTRICT,MUNICIPAL,MAJOR,4952,Cerro Gordo,2,26,94,22,43.10464,-93.40694,WEST FORK CEDAR R,1,SEQUENCING BATCH REACTOR,1,DISCHARGE FROM AN ACTIVATED SLUDGE (SBR) WASTEWATER TREATMENT FACILITY.,43.10297,-93.40475,2,BYPASS AT LIFT STATION # 5 OVERFLOW ON THE EAST EDGE OF CLEAR LAKE.,43.14462,-93.3606,NA,,,,NA,,,,NA,,,,NA,,,,NA,,,
2326001,35947,8/31/2017,CLINTON CITY OF STP,MUNICIPAL,MAJOR,4952,Clinton,6,23,81,6,41.81009,-90.23043,MISSISSIPPI R NEAR CLINTON,2,ACTIVATED SLUDGE,1,DISCHARGE FROM AN ACTIVATED SLUDGE WASTEWATER TREATMENT PLANT,41.80875,-90.23038,10,20TH AVENUE NORTH PUMPING STATION COMBINED SEWER OVERFLOW,41.86584,-90.17606,16,DISCHARGE FROM THE COMBINED SEWER WET WEATHER TREATMENT FACILITY,-,-,NA,,,,NA,,,,NA,,,,NA,,,
5208001,20788,5/31/2020,CORALVILLE CITY OF STP,MUNICIPAL,MAJOR,4952,Johnson,6,1,79,7,41.67877,-91.59924,IOWA R BELOW NORTH LIBERTY,1,SEQUENCING BATCH REACTOR,1,DISCHARGE FROM THE SBR ACTIVATED SLUDGE TREATMENT PLANT TO THE IOWA RIVER.,41.65278,41.65278,3,BYPASS FROM FLOW EQUALIZATION BASIN.,41.67655,-91.59855,NA,,,,NA,,,,NA,,,,NA,,,,NA,,,
7820001,36641,12/31/2019,COUNCIL BLUFFS CITY OF STP,MUNICIPAL,MAJOR,4952,Pottawattamie,4,31,74,43,41.16933,-95.83707,PIGEON AND MOSQUITO CRS,1,TRICKLING FILTER,1,DISCHARGE FROM AN ACTIVATED SLUDGE/TRICKLING FILTER WASTEWATER TREATMENT PLANT.,41.16912,-95.84158,3,BYPASS AT 29TH AVENUE STORM PUMP,41.23373,-95.86511,5,BYPASS AT 6TH AVENUE AND DODGE PARK STORM LIFT STATION.,41.2561,-95.91915,NA,,,,NA,,,,NA,,,,NA,,,
4515001,21334,3/31/2021,CRESCO CITY OF STP,MUNICIPAL,MAJOR,4952,Howard,1,13,99,11,43.39114,-92.09551,UPPER IOWA R,1,ACTIVATED SLUDGE,1,DISCHARGE FROM AN ACTIVATED SLUDGE WASTEWATER TREATMENT FACILITY.,43.39178,-92.09703,NA,,,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,,
8816001,35238,6/30/2020,CRESTON CITY OF STP,MUNICIPAL,MAJOR,4952,Union,4,11,72,31,41.04806,-94.38972,PLATTE R,1,TRICKLING FILTER,1,DISCHARGE FROM A TRICKLING FILTER WASTEWATER TREATMENT FACILITY.,41.04821,-94.3921,2,BYPASS FROM EAST LIFT STATION,41.05028,-94.34667,5, BYPASS LOCATED AFTER PRELIMINARY BUILDING.,41.04797,-94.39059,NA,,,,NA,,,,NA,,,,NA,,,
8222003,43052,7/31/2019,DAVENPORT CITY OF STP,MUNICIPAL,MAJOR,4952,Scott,6,9,77,3,41.49245,-90.62798,MISSISSIPPI R FROM THE WAPSIPINICON TO THE IOWA,1,ACTIVATED SLUDGE,1, DISCHARGE FROM AN ACTIVATED SLUDGE WASTEWATER TREATMENT FACILITY.,41.48467,-90.63145,2, BYPASS FROM SANITARY SEWER OVERFLOW LOCATED AT EAST 18TH AND MARLO STREETS.,41.53701,-90.53022,4,BYPASS FROM SANITARY SEWER OVERFLOW AT 40TH STREET AND LINWOOD.,41.56104,-90.61334,8,BYPASS FROM SANITARY SEWER OVERFLOW AT SOUTHEAST CORNER RIVER DRIVE AND MOUND STREET.,41.52988,-90.54637,10,INTERNAL SECONDARY BYPASS,-,-,11,BYPASS FROM SANITARY SEWER OVERFLOW AT RIVER DRIVE AND FEDERAL STREET,-,-,801,COMBINED EFFLUENT FROM SECONDARY TREATMENT AND BLENDING PROCESS,-,-
9630001,35220,7/31/2015,DECORAH CITY OF STP,MUNICIPAL,MAJOR,4952,Winneshiek,1,23,98,8,43.29451,-91.74684,UPPER IOWA R,1,ACTIVATED SLUDGE,1,DISCHARGE FROM AN ACTIVATED SLUDGE WASTEWATER TREATMENT FACILITY.,43.29592,-91.75519,NA,,,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,,
2424001,23302,12/31/2015,DENISON MUNICIPAL UTILITIES-STP,MUNICIPAL,MAJOR,4952,Crawford,4,10,83,39,42.01265,-95.37884,BOYER R,1,ACTIVATED SLUDGE,1,OUTFALL FROM AN ACTIVATED SLUDGE WASTEWATER TREATMENT PLANT.,-,-,2,LIFT STATION #1 BYPASS AT 5TH STREET AND 3RD AVENUE SOUTH,-,-,3,BYPASS OF TRICKLING FILTER EFFLUENT,-,-,4,BYPASS OF PEAK INFLUENT FLOWS PRIOR TO THE HEADWORKS OF THE TRICKLING FILTER PLANT,-,-,NA,,,,NA,,,,NA,,,
7727001,44130,2/28/2021,DES MOINES METROPOLITAN WRF,MUNICIPAL,MAJOR,4952,Polk,5,7,78,23,41.57231,-93.55766,DES MOINES R BELOW THE RACCOON TO WHITEBREAST CR,1,ACTIVATED SLUDGE,1,DISCHARGE FROM A TRICKLING FILTER/ACTIVATED SLUDGE WASTEWATER TREATMENT FACILITY,41.56711,-93.55432,3,BYPASS AT MAIN PLANT STRUCTURE 04 (COMBINED SEWER OVERFLOW).,41.57347,-93.56368,4,BYPASS AT STRUCTURE 24,41.57092,-93.55702,15,COMBINED SEWER OVERFLOW AT THE BIRDLAND PUMPING STATION.,41.60975,-93.61107,28,COMBINED SEWER OVERFLOW AT 22ND AND HIGH STREETS.,41.58246,-93.64506,39,DISCHARGE FROM COMBINED SEWER SOLIDS SEPARATION FACILITY,41.57574,-93.57143,40,BYPASS OVERFLOW OF THE ALTOONA STORM RETENTION BASIN,41.59704,-93.52578
2330001,35271,11/30/2021,DEWITT CITY OF STP,MUNICIPAL,MAJOR,4952,Clinton,6,19,81,4,41.81113,-90.54194,WAPSIPINICON R BELOW ANAMOSA,2,OXIDATION DITCH,1,DISCHARGE FROM AN OXIDATION DITCH WASTEWATER TREATMENT FACILITY.,41.80877,-90.5418,NA,,,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,,
3126001,44458,9/30/2018,DUBUQUE CITY OF STP,MUNICIPAL,MAJOR,4952,Dubuque,1,6,88,3,42.46952,-90.65984,MISSISSIPPI R FROM DUBUQUE TO THE MAQUOKETA,2,ACTIVATED SLUDGE,1, DISCHARGE FROM ACTIVATED SLUDGE WASTEWATER TREATMENT FACILITY.,42.47092,-90.64886,2,CEDAR STREET LIFT STATION OVERFLOW.,42.5098,-90.66071,3,TERMINAL STREET LIFT STATION OVERFLOW.,42.49173,-90.65887,4,CATFISH CREEK LIFT STATION OVERFLOW.,42.46844,-90.64501,5,KERPER STREET LIFT STATION OVERFLOW.,42.52695,-90.64928,6, BRADLEY STREET LIFT STATION OVERFLOW.,42.48794,-90.68363,7,PERRY STREET LIFT STATION OVERFLOW.,42.48445,-90.68058
9926001,34380,10/31/2019,"EAGLE GROVE, CITY OF STP",MUNICIPAL,MAJOR,4952,Wright,2,34,91,26,42.64875,-93.90679,BOONE R,1,ROTATING BIOLOGICAL CONTACTOR,1, DISCHARGE FROM A ROTATING BIOLOGIAL CONTACTOR WASTEWATER TREATMENT FACILITY.,42.64827,-93.90685,2, BYPASS LOCATED IN A MANHOLE UPSTREAM FROM THE GRIT CHAMBER,42.64979,-93.90499,4," BYPASS OVERFLOW EAST OF 807 COMMERCIAL, SOUTH END OF SOUTH IOWA STREET",42.65678,-93.9058,5," BYPASS OVERFLOW SOUTH OF SOUTH 2ND STREET, WEST OF SOUTH EASTERN AVENUE",42.66008,-93.89865,NA,,,,NA,,,,NA,,,
4236001,25933,8/31/2019,ELDORA CITY OF STP,MUNICIPAL,MAJOR,4952,Hardin,2,8,87,19,42.355,-93.08254,IOWA R ABOVE ALBION,2,SEQUENCING BATCH REACTOR,1, DISCHARGE FROM A SEQUENCING BATCH REACTOR WASTEWATER TREATMENT PLANT.,42.35518,-93.08131,2,BYPASS AT FLOW EQUALIZATION BASIN,42.35475,-93.08115,3,SANITARY SEWER OVERFLOW AT ELDORA TRAINING SCHOOL PUMPING STATION,42.35417,-93.12471,NA,,,,NA,,,,NA,,,,NA,,,
8230003,63231,11/30/2018,ELDRIDGE CITY OF STP (SOUTH SLOPE),MUNICIPAL,MAJOR,4952,Scott,6,26,79,3,41.62047,-90.57434,MISSISSIPPI R FROM THE WAPSIPINICON TO THE IOWA,1,SEQUENCING BATCH REACTOR,1, DISCHARGE FROM A SEQUENCING BATCH REACTOR ACTIVATED SLUDGE WASTEWATER TREATMENT FACILITY.,41.62083,-90.57555,NA,,,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,,
7428002,21580,5/31/2020,EMMETSBURG CITY OF STP,MUNICIPAL,MAJOR,4952,Palo Alto,3,36,96,33,43.09506,-94.68833,DES MOINES R ABOVE THE EAST FORK DES MOINES,1,ROTATING BIOLOGICAL CONTACTOR,1, DISCHARGE FROM A ROTATING BIOLOGICAL CONTACTOR (RBC) WASTEWATER TREATMENT FACILITY.,43.09417,-94.68866,3,BYPASS AFTER STATIC SCREENING,43.095,-94.68874,4, BYPASS AT EQUALIZATION BASIN OVERFLOW,-,-,NA,,,,NA,,,,NA,,,,NA,,,
3218002,23744,3/31/2020,ESTHERVILLE CITY OF STP,MUNICIPAL,MAJOR,4952,Emmet,3,24,99,34,43.37424,-94.81552,DES MOINES R ABOVE THE EAST FORK DES MOINES,1,TRICKLING FILTER,1, DISCHARGE FROM A COMBINED TRICKLING FILTER/ACTIVATED SLUDGE WASTEWATER TREATMENTFACILITY.,43.37733,-94.80747,2,BYPASS AFTER FIRST STAGE TRICKLING FILTERS,43.37476,-94.81431,NA,,,,NA,,,,NA,,,,NA,,,,NA,,,
723001,22004,8/12/2006,EVANSDALE CITY OF STP,MUNICIPAL,MAJOR,4952,Black Hawk,1,1,88,13,42.46241,-92.30367,CEDAR R BELOW THE SHELLROCK R THRU CEDAR RAPIDS,1,ACTIVATED SLUDGE,1, DISCHARGE FROM AN ACTIVATED SLUDGE WASTEWATER TREATMENT FACILITY.,42.46247,-92.3069,NA,,,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,,
5131001,35076,9/14/2004,"FAIRFIELD, CITY OF STP",MUNICIPAL,MAJOR,4952,Jefferson,6,6,71,9,40.97904,-91.94494,SKUNK R BELOW THE NORTH SKUNK,1,OXIDATION DITCH,1,DISCHARGE FROM AN ACTIVATED SLUDGE WASTEWATER TREATMENT FACILITY.,40.97889,-91.94389,NA,,,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,,
9525001,21563,12/31/2019,FOREST CITY CITY OF STP,MUNICIPAL,MAJOR,4952,Winnebago,2,12,98,24,43.23582,-93.61815,WINNEBAGO R,1,ROTATING BIOLOGICAL CONTACTOR,1,DISCHARGE FROM A ROTATING BIOLOGICAL CONTACTOR WASTEWATER TREATMENT FACILITY.,43.23406,-93.61865,NA,,,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,,
9433003,44849,2/29/2020,FORT DODGE CITY OF STP,MUNICIPAL,MAJOR,4952,Webster,2,29,89,28,42.48682,-94.18216,DES MOINES R BELOW THE EAST FORK DES MOINES,1,ACTIVATED SLUDGE,1,DISCHARGE FROM A VERTICAL LOOP REACTOR ACTIVATED SLUDGE WASTEWATER TREATMENT FACILITY.,42.48643,-94.18042,NA,,,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,,
5625001,27219,12/31/2015,FORT MADISON CITY OF STP,MUNICIPAL,MAJOR,4952,Lee,6,9,67,4,40.62279,-91.33307,MISSISSIPPI R NEAR FORT MADISON,1,ACTIVATED SLUDGE,1,DISCHARGE FROM AN ACTIVATED SLUDGE WASTEWATER TREATMENT FACILITY.,40.62126,-91.33328,2,MAIN PLANT BYPASS LOCATED AT THE HEAD OF THE FACILITY (CSO,40.62244,-91.33338,4,COMBINED SEWER OVERFLOW LOCATED AT RIVERVIEW PARK AND 4TH STREET.,40.62853,-91.30438,12,"COMBINED SEWER OVERFLOW LOCATED AT 13TH STREET AND ""L"" AVENUE.",40.62693,-91.32066,NA,,,,NA,,,,NA,,,
6525001,21946,11/30/2017,GMU WASTEWATER TREATMENT FACILITY,MUNICIPAL,MAJOR,4952,Mills,4,27,72,43,41.009,-95.7709,KEG AND WAUBONSIE CRS,1,ROTATING BIOLOGICAL CONTACTOR,1,DISCHARGE FROM A ROTATING BIOLOGICAL CONTACTOR WASTEWATER TREATMENT FACILITY.,40.96356,-95.82793,2,BYPASS AT THE RAILROAD AVE LIFT STATION IN THE CITY OF GLENWOOD,41.03392,-95.74959,NA,,,,NA,,,,NA,,,,NA,,,,NA,,,
140001,21369,9/30/2019,GREENFIELD CITY OF STP,MUNICIPAL,MAJOR,4952,Adair,4,18,75,31,41.2978,-94.45574,THOMPSON R,1,TRICKLING FILTER,1,DISCHARGE FROM A TRICKLING FILTER WASTEWATER TREATMENT FACILITY.,41.29722,-94.45556,2,BYPASS AT EQUALIZATION BASIN OVERFLOW.,41.2925,-94.44472,4,BYPASS AT MC CUNN LIFT STATION,41.29323,-94.44363,NA,,,,NA,,,,NA,,,,NA,,,
7736001,35939,1/31/2021,"GRIMES, CITY OF STP",MUNICIPAL,MAJOR,4952,Polk,5,29,80,25,41.70307,-93.79382,DES MOINES R BELOW THE EAST FORK DES MOINES,1,ACTIVATED SLUDGE,1,DISCHARGE FROM AN ACTIVATED SLUDGE WASTEWATER TREATMENT FACILITY.,41.70667,-93.78973,NA,,,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,,
7930001,31186,8/31/2018,"GRINNELL, CITY OF STP",MUNICIPAL,MAJOR,4952,Poweshiek,5,19,80,16,41.71983,-92.74925,NORTH SKUNK R,1,TRICKLING FILTER,1,DISCHARGE FROM A TRICKLING FILTER WASTEWATER TREATMENT FACILITY.,41.71938,-92.74866,12,BYPASS FROM EQUALIZATION BASIN,-,-,NA,,,,NA,,,,NA,,,,NA,,,,NA,,,
3833001,24511,1/31/2019,GRUNDY CENTER CITY OF STP,MUNICIPAL,MAJOR,4952,Grundy,2,7,87,16,42.36643,-92.76295,CEDAR R BELOW THE SHELLROCK R THRU CEDAR RAPIDS,1,SEQUENCING BATCH REACTOR,1,DISCHARGE FROM SEQUENCING BATCH REACTOR WASTEWATER TREATMENT FACILITY.,42.36665,-92.76219,2,BYPASS FROM MAIN TREATMENT PLANT.,42.36525,-92.7587,3,BYPASS FROM EQUALIZATION BASIN.,42.3652,-92.75838,NA,,,,NA,,,,NA,,,,NA,,,
3544001,36471,9/30/2021,HAMPTON CITY OF STP,MUNICIPAL,MAJOR,4952,Franklin,2,34,92,20,42.74435,-93.1942,WEST FORK CEDAR R,2,SEQUENCING BATCH REACTOR,1,DISCHARGE FROM A TRICKLING FILTER WASTEWATER TREATMENT FACILITY.,42.74152,-93.19331,2,DISCHARGE FROM AN ACTIVATED SLUDGE WASTEWATER TREATMENT FACILITY,-,-,NA,,,,NA,,,,NA,,,,NA,,,,NA,,,
